image,decision,dest,label_dest
17782459242285364986200979906669.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/17782459242285364986200979906669.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/17782459242285364986200979906669.txt
17782459370472066118308027753737.jpg,val,/private/var/www/detectfpvdrones/dataset/images/val/17782459370472066118308027753737.jpg,/private/var/www/detectfpvdrones/dataset/labels/val/17782459370472066118308027753737.txt
17782460036556544908706631321267.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/17782460036556544908706631321267.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/17782460036556544908706631321267.txt
17782460371095271225374380598369.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/17782460371095271225374380598369.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/17782460371095271225374380598369.txt
17782460542445816712069098538035.jpg,val,/private/var/www/detectfpvdrones/dataset/images/val/17782460542445816712069098538035.jpg,/private/var/www/detectfpvdrones/dataset/labels/val/17782460542445816712069098538035.txt
17782460686777391316062771113474.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/17782460686777391316062771113474.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/17782460686777391316062771113474.txt
17782460832494079844949981714971.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/17782460832494079844949981714971.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/17782460832494079844949981714971.txt
17782460932457390631520875336592.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/17782460932457390631520875336592.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/17782460932457390631520875336592.txt
17782461059003848424928639669333.jpg,val,/private/var/www/detectfpvdrones/dataset/images/val/17782461059003848424928639669333.jpg,/private/var/www/detectfpvdrones/dataset/labels/val/17782461059003848424928639669333.txt
17782461278789056361530882609522.jpg,val,/private/var/www/detectfpvdrones/dataset/images/val/17782461278789056361530882609522.jpg,/private/var/www/detectfpvdrones/dataset/labels/val/17782461278789056361530882609522.txt
17782461540745694849874014383059.jpg,val,/private/var/www/detectfpvdrones/dataset/images/val/17782461540745694849874014383059.jpg,/private/var/www/detectfpvdrones/dataset/labels/val/17782461540745694849874014383059.txt
17782461643617013964897150380102.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/17782461643617013964897150380102.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/17782461643617013964897150380102.txt
17782461807105940918218059889605.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/17782461807105940918218059889605.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/17782461807105940918218059889605.txt
17782461961888349393887634919337.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/17782461961888349393887634919337.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/17782461961888349393887634919337.txt
17782462115775892925121221734182.jpg,val,/private/var/www/detectfpvdrones/dataset/images/val/17782462115775892925121221734182.jpg,/private/var/www/detectfpvdrones/dataset/labels/val/17782462115775892925121221734182.txt
17782462249164892594036488660330.jpg,val,/private/var/www/detectfpvdrones/dataset/images/val/17782462249164892594036488660330.jpg,/private/var/www/detectfpvdrones/dataset/labels/val/17782462249164892594036488660330.txt
17783534836665554066317064741535.png,train,/private/var/www/detectfpvdrones/dataset/images/train/17783534836665554066317064741535.png,/private/var/www/detectfpvdrones/dataset/labels/train/17783534836665554066317064741535.txt
Screenshot 2026-05-10 at 0.20.50.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-10 at 0.20.50.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-10 at 0.20.50.txt
Screenshot 2026-05-10 at 0.21.04.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-10 at 0.21.04.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-10 at 0.21.04.txt
Screenshot 2026-05-10 at 0.21.28.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-10 at 0.21.28.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-10 at 0.21.28.txt
Screenshot 2026-05-10 at 0.21.58.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-10 at 0.21.58.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-10 at 0.21.58.txt
ai-generated-drone-flying-in-the-sky-professionalgraphy-photo.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/ai-generated-drone-flying-in-the-sky-professionalgraphy-photo.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/ai-generated-drone-flying-in-the-sky-professionalgraphy-photo.txt
image1.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/image1.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/image1.txt
image10.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/image10.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/image10.txt
image11.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/image11.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/image11.txt
image12.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/image12.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/image12.txt
image13.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image13.png,/private/var/www/detectfpvdrones/dataset/labels/train/image13.txt
image14.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image14.png,/private/var/www/detectfpvdrones/dataset/labels/train/image14.txt
image15.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image15.png,/private/var/www/detectfpvdrones/dataset/labels/train/image15.txt
image16.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image16.png,/private/var/www/detectfpvdrones/dataset/labels/train/image16.txt
image17.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image17.png,/private/var/www/detectfpvdrones/dataset/labels/train/image17.txt
image18.png,val,/private/var/www/detectfpvdrones/dataset/images/val/image18.png,/private/var/www/detectfpvdrones/dataset/labels/val/image18.txt
image19.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image19.png,/private/var/www/detectfpvdrones/dataset/labels/train/image19.txt
image2.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image2.png,/private/var/www/detectfpvdrones/dataset/labels/train/image2.txt
image20.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image20.png,/private/var/www/detectfpvdrones/dataset/labels/train/image20.txt
image21.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image21.png,/private/var/www/detectfpvdrones/dataset/labels/train/image21.txt
image22.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image22.png,/private/var/www/detectfpvdrones/dataset/labels/train/image22.txt
image23.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image23.png,/private/var/www/detectfpvdrones/dataset/labels/train/image23.txt
image24.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image24.png,/private/var/www/detectfpvdrones/dataset/labels/train/image24.txt
image25.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image25.png,/private/var/www/detectfpvdrones/dataset/labels/train/image25.txt
image26.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image26.png,/private/var/www/detectfpvdrones/dataset/labels/train/image26.txt
image27.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image27.png,/private/var/www/detectfpvdrones/dataset/labels/train/image27.txt
image28.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image28.png,/private/var/www/detectfpvdrones/dataset/labels/train/image28.txt
image29.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image29.png,/private/var/www/detectfpvdrones/dataset/labels/train/image29.txt
image3.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image3.png,/private/var/www/detectfpvdrones/dataset/labels/train/image3.txt
image30.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image30.png,/private/var/www/detectfpvdrones/dataset/labels/train/image30.txt
image31.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image31.png,/private/var/www/detectfpvdrones/dataset/labels/train/image31.txt
image32.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image32.png,/private/var/www/detectfpvdrones/dataset/labels/train/image32.txt
image33.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image33.png,/private/var/www/detectfpvdrones/dataset/labels/train/image33.txt
image34.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image34.png,/private/var/www/detectfpvdrones/dataset/labels/train/image34.txt
image35.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image35.png,/private/var/www/detectfpvdrones/dataset/labels/train/image35.txt
image36.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image36.png,/private/var/www/detectfpvdrones/dataset/labels/train/image36.txt
image37.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image37.png,/private/var/www/detectfpvdrones/dataset/labels/train/image37.txt
image38.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image38.png,/private/var/www/detectfpvdrones/dataset/labels/train/image38.txt
image39.png,val,/private/var/www/detectfpvdrones/dataset/images/val/image39.png,/private/var/www/detectfpvdrones/dataset/labels/val/image39.txt
image4.png,val,/private/var/www/detectfpvdrones/dataset/images/val/image4.png,/private/var/www/detectfpvdrones/dataset/labels/val/image4.txt
image40.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image40.png,/private/var/www/detectfpvdrones/dataset/labels/train/image40.txt
image41.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image41.png,/private/var/www/detectfpvdrones/dataset/labels/train/image41.txt
image42.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image42.png,/private/var/www/detectfpvdrones/dataset/labels/train/image42.txt
image43.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image43.png,/private/var/www/detectfpvdrones/dataset/labels/train/image43.txt
image44.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image44.png,/private/var/www/detectfpvdrones/dataset/labels/train/image44.txt
image45.png,val,/private/var/www/detectfpvdrones/dataset/images/val/image45.png,/private/var/www/detectfpvdrones/dataset/labels/val/image45.txt
image5.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image5.png,/private/var/www/detectfpvdrones/dataset/labels/train/image5.txt
image6.png,val,/private/var/www/detectfpvdrones/dataset/images/val/image6.png,/private/var/www/detectfpvdrones/dataset/labels/val/image6.txt
image7.png,val,/private/var/www/detectfpvdrones/dataset/images/val/image7.png,/private/var/www/detectfpvdrones/dataset/labels/val/image7.txt
image8.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image8.png,/private/var/www/detectfpvdrones/dataset/labels/train/image8.txt
image9.png,train,/private/var/www/detectfpvdrones/dataset/images/train/image9.png,/private/var/www/detectfpvdrones/dataset/labels/train/image9.txt
images (1).png,train,/private/var/www/detectfpvdrones/dataset/images/train/images (1).png,/private/var/www/detectfpvdrones/dataset/labels/train/images (1).txt
images (2).jpeg,train,/private/var/www/detectfpvdrones/dataset/images/train/images (2).jpeg,
images.png,train,/private/var/www/detectfpvdrones/dataset/images/train/images.png,/private/var/www/detectfpvdrones/dataset/labels/train/images.txt
premium_photo-1675778644413-53825034abd1.png,train,/private/var/www/detectfpvdrones/dataset/images/train/premium_photo-1675778644413-53825034abd1.png,/private/var/www/detectfpvdrones/dataset/labels/train/premium_photo-1675778644413-53825034abd1.txt
Screenshot 2026-05-11 at 10.58.11.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 10.58.11.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 10.58.11.txt
Screenshot 2026-05-11 at 10.58.25.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 10.58.25.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 10.58.25.txt
Screenshot 2026-05-11 at 10.59.04.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 10.59.04.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 10.59.04.txt
Screenshot 2026-05-11 at 10.59.11.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 10.59.11.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 10.59.11.txt
Screenshot 2026-05-11 at 10.59.29.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 10.59.29.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 10.59.29.txt
Screenshot 2026-05-11 at 11.00.40.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.00.40.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.00.40.txt
Screenshot 2026-05-11 at 11.01.44.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.01.44.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.01.44.txt
Screenshot 2026-05-11 at 11.02.04.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.02.04.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.02.04.txt
Screenshot 2026-05-11 at 11.02.24.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.02.24.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.02.24.txt
Screenshot 2026-05-11 at 11.02.40.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.02.40.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.02.40.txt
Screenshot 2026-05-11 at 11.02.57.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.02.57.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.02.57.txt
Screenshot 2026-05-11 at 11.03.31.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.03.31.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.03.31.txt
Screenshot 2026-05-11 at 11.04.31.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.04.31.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.04.31.txt
Screenshot 2026-05-11 at 11.04.53.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.04.53.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.04.53.txt
Screenshot 2026-05-11 at 11.05.18.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.05.18.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.05.18.txt
Screenshot 2026-05-11 at 11.07.08.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.07.08.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.07.08.txt
Screenshot 2026-05-11 at 11.07.30.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.07.30.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.07.30.txt
Screenshot 2026-05-11 at 11.07.46.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.07.46.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.07.46.txt
Screenshot 2026-05-11 at 11.08.06.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.08.06.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.08.06.txt
Screenshot 2026-05-11 at 11.08.20.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.08.20.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.08.20.txt
Screenshot 2026-05-11 at 11.08.32.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.08.32.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.08.32.txt
Screenshot 2026-05-11 at 11.08.50.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.08.50.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.08.50.txt
Screenshot 2026-05-11 at 11.09.08.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.09.08.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.09.08.txt
Screenshot 2026-05-11 at 11.09.30.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.09.30.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.09.30.txt
Screenshot 2026-05-11 at 11.14.07.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.14.07.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.14.07.txt
Screenshot 2026-05-11 at 11.14.26.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.14.26.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.14.26.txt
Screenshot 2026-05-11 at 11.14.53.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.14.53.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.14.53.txt
Screenshot 2026-05-11 at 11.15.07.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.15.07.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.15.07.txt
Screenshot 2026-05-11 at 11.15.22.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.15.22.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.15.22.txt
Screenshot 2026-05-11 at 11.15.38.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.15.38.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.15.38.txt
Screenshot 2026-05-11 at 11.15.56.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.15.56.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.15.56.txt
Screenshot 2026-05-11 at 11.16.14.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.16.14.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.16.14.txt
Screenshot 2026-05-11 at 11.16.33.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.16.33.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.16.33.txt
Screenshot 2026-05-11 at 11.16.49.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.16.49.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.16.49.txt
Screenshot 2026-05-11 at 11.17.02.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.17.02.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.17.02.txt
Screenshot 2026-05-11 at 11.17.16.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.17.16.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.17.16.txt
Screenshot 2026-05-11 at 11.17.35.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.17.35.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.17.35.txt
Screenshot 2026-05-11 at 11.17.48.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.17.48.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.17.48.txt
Screenshot 2026-05-11 at 11.18.08.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.18.08.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.18.08.txt
Screenshot 2026-05-11 at 11.18.59.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.18.59.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.18.59.txt
Screenshot 2026-05-11 at 11.19.36.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.19.36.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.19.36.txt
Screenshot 2026-05-11 at 11.20.01.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.20.01.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.20.01.txt
Screenshot 2026-05-11 at 11.20.17.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.20.17.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.20.17.txt
Screenshot 2026-05-11 at 11.20.46.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.20.46.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.20.46.txt
Screenshot 2026-05-11 at 11.21.15.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.21.15.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.21.15.txt
Screenshot 2026-05-11 at 11.21.53.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.21.53.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.21.53.txt
Screenshot 2026-05-11 at 11.22.20.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.22.20.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.22.20.txt
Screenshot 2026-05-11 at 11.22.58.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.22.58.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.22.58.txt
Screenshot 2026-05-11 at 11.23.16.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.23.16.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.23.16.txt
Screenshot 2026-05-11 at 11.23.31.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.23.31.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.23.31.txt
Screenshot 2026-05-11 at 11.23.49.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.23.49.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.23.49.txt
Screenshot 2026-05-11 at 11.24.14.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.24.14.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.24.14.txt
Screenshot 2026-05-11 at 11.24.37.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.24.37.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.24.37.txt
Screenshot 2026-05-11 at 11.26.02.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.26.02.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.26.02.txt
Screenshot 2026-05-11 at 11.26.16.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.26.16.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.26.16.txt
Screenshot 2026-05-11 at 11.26.28.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.26.28.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.26.28.txt
Screenshot 2026-05-11 at 11.26.40.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.26.40.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.26.40.txt
Screenshot 2026-05-11 at 11.26.50.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.26.50.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.26.50.txt
Screenshot 2026-05-11 at 11.27.01.png,train,/private/var/www/detectfpvdrones/dataset/images/train/Screenshot 2026-05-11 at 11.27.01.png,/private/var/www/detectfpvdrones/dataset/labels/train/Screenshot 2026-05-11 at 11.27.01.txt
